"['e2e4', 'e7e6', 'd2d4', 'd7d5', 'b1d2', 'g8f6', 'e4e5', 'f6d7', 'f2f4', 'c7c5', 'c2c3', 'b8c6', 'd2f3', 'c5d4', 'c3d4', 'f7f6', 'f1d3', 'f8b4']",r1bqk2r/pp1n2pp/2n1pp2/3pP3/1b1P1P2/3B1N2/PP4PP/R1BQK1NR w KQkq - 2 10,w
"['e2e4', 'e7e6', 'd2d4', 'd7d5', 'b1d2', 'g8f6', 'e4e5', 'f6d7', 'f2f4', 'c7c5', 'c2c3', 'b8c6', 'd2f3', 'c5d4', 'c3d4', 'f7f6', 'f1d3', 'f8b4', 'c1d2']",r1bqk2r/pp1n2pp/2n1pp2/3pP3/1b1P1P2/3B1N2/PP1B2PP/R2QK1NR b KQkq - 3 10,w
"['e2e4', 'e7e6', 'd2d4', 'd7d5', 'b1d2', 'g8f6', 'e4e5', 'f6d7', 'f2f4', 'c7c5', 'c2c3', 'b8c6', 'd2f3', 'c5d4', 'c3d4', 'f7f6', 'f1d3', 'f8b4', 'c1d2', 'd8b6']",r1b1k2r/pp1n2pp/1qn1pp2/3pP3/1b1P1P2/3B1N2/PP1B2PP/R2QK1NR w KQkq - 4 11,w
"['e2e4', 'e7e6', 'd2d4', 'd7d5', 'b1d2', 'g8f6', 'e4e5', 'f6d7', 'f2f4', 'c7c5', 'c2c3', 'b8c6', 'd2f3', 'c5d4', 'c3d4', 'f7f6', 'f1d3', 'f8b4', 'c1d2', 'd8b6', 'g1e2']",r1b1k2r/pp1n2pp/1qn1pp2/3pP3/1b1P1P2/3B1N2/PP1BN1PP/R2QK2R b KQkq - 5 11,w
"['e2e4', 'e7e6', 'd2d4', 'd7d5', 'b1d2', 'g8f6', 'e4e5', 'f6d7', 'f2f4', 'c7c5', 'c2c3', 'b8c6', 'd2f3', 'c5d4', 'c3d4', 'f7f6', 'f1d3', 'f8b4', 'c1d2', 'd8b6', 'g1e2', 'f6e5']",r1b1k2r/pp1n2pp/1qn1p3/3pp3/1b1P1P2/3B1N2/PP1BN1PP/R2QK2R w KQkq - 0 12,w
"['e2e4', 'e7e6', 'd2d4', 'd7d5', 'b1d2', 'g8f6', 'e4e5', 'f6d7', 'f2f4', 'c7c5', 'c2c3', 'b8c6', 'd2f3', 'c5d4', 'c3d4', 'f7f6', 'f1d3', 'f8b4', 'c1d2', 'd8b6', 'g1e2', 'f6e5', 'f4e5']",r1b1k2r/pp1n2pp/1qn1p3/3pP3/1b1P4/3B1N2/PP1BN1PP/R2QK2R b KQkq - 0 12,w
"['e2e4', 'e7e6', 'd2d4', 'd7d5', 'b1d2', 'g8f6', 'e4e5', 'f6d7', 'f2f4', 'c7c5', 'c2c3', 'b8c6', 'd2f3', 'c5d4', 'c3d4', 'f7f6', 'f1d3', 'f8b4', 'c1d2', 'd8b6', 'g1e2', 'f6e5', 'f4e5', 'e8g8']",r1b2rk1/pp1n2pp/1qn1p3/3pP3/1b1P4/3B1N2/PP1BN1PP/R2QK2R w KQ - 1 13,w
"['e2e4', 'e7e6', 'd2d4', 'd7d5', 'b1d2', 'g8f6', 'e4e5', 'f6d7', 'f2f4', 'c7c5', 'c2c3', 'b8c6', 'd2f3', 'c5d4', 'c3d4', 'f7f6', 'f1d3', 'f8b4', 'c1d2', 'd8b6', 'g1e2', 'f6e5', 'f4e5', 'e8g8', 'a2a3']",r1b2rk1/pp1n2pp/1qn1p3/3pP3/1b1P4/P2B1N2/1P1BN1PP/R2QK2R b KQ - 0 13,w
"['e2e4', 'e7e6', 'd2d4', 'd7d5', 'b1d2', 'g8f6', 'e4e5', 'f6d7', 'f2f4', 'c7c5', 'c2c3', 'b8c6', 'd2f3', 'c5d4', 'c3d4', 'f7f6', 'f1d3', 'f8b4', 'c1d2', 'd8b6', 'g1e2', 'f6e5', 'f4e5', 'e8g8', 'a2a3', 'b4e7']",r1b2rk1/pp1nb1pp/1qn1p3/3pP3/3P4/P2B1N2/1P1BN1PP/R2QK2R w KQ - 1 14,w
"['e2e4', 'e7e6', 'd2d4', 'd7d5', 'b1d2', 'g8f6', 'e4e5', 'f6d7', 'f2f4', 'c7c5', 'c2c3', 'b8c6', 'd2f3', 'c5d4', 'c3d4', 'f7f6', 'f1d3', 'f8b4', 'c1d2', 'd8b6', 'g1e2', 'f6e5', 'f4e5', 'e8g8', 'a2a3', 'b4e7', 'd1c2']",r1b2rk1/pp1nb1pp/1qn1p3/3pP3/3P4/P2B1N2/1PQBN1PP/R3K2R b KQ - 2 14,w
"['e2e4', 'e7e6', 'd2d4', 'd7d5', 'b1d2', 'g8f6', 'e4e5', 'f6d7', 'f2f4', 'c7c5', 'c2c3', 'b8c6', 'd2f3', 'c5d4', 'c3d4', 'f7f6', 'f1d3', 'f8b4', 'c1d2', 'd8b6', 'g1e2', 'f6e5', 'f4e5', 'e8g8', 'a2a3', 'b4e7', 'd1c2', 'f8f3']",r1b3k1/pp1nb1pp/1qn1p3/3pP3/3P4/P2B1r2/1PQBN1PP/R3K2R w KQ - 0 15,w
"['e2e4', 'e7e6', 'd2d4', 'd7d5', 'b1d2', 'g8f6', 'e4e5', 'f6d7', 'f2f4', 'c7c5', 'c2c3', 'b8c6', 'd2f3', 'c5d4', 'c3d4', 'f7f6', 'f1d3', 'f8b4', 'c1d2', 'd8b6', 'g1e2', 'f6e5', 'f4e5', 'e8g8', 'a2a3', 'b4e7', 'd1c2', 'f8f3', 'g2f3']",r1b3k1/pp1nb1pp/1qn1p3/3pP3/3P4/P2B1P2/1PQBN2P/R3K2R b KQ - 0 15,w
"['e2e4', 'e7e6', 'd2d4', 'd7d5', 'b1d2', 'g8f6', 'e4e5', 'f6d7', 'f2f4', 'c7c5', 'c2c3', 'b8c6', 'd2f3', 'c5d4', 'c3d4', 'f7f6', 'f1d3', 'f8b4', 'c1d2', 'd8b6', 'g1e2', 'f6e5', 'f4e5', 'e8g8', 'a2a3', 'b4e7', 'd1c2', 'f8f3', 'g2f3', 'c6d4']",r1b3k1/pp1nb1pp/1q2p3/3pP3/3n4/P2B1P2/1PQBN2P/R3K2R w KQ - 0 16,w
"['e2e4', 'e7e6', 'd2d4', 'd7d5', 'b1d2', 'g8f6', 'e4e5', 'f6d7', 'f2f4', 'c7c5', 'c2c3', 'b8c6', 'd2f3', 'c5d4', 'c3d4', 'f7f6', 'f1d3', 'f8b4', 'c1d2', 'd8b6', 'g1e2', 'f6e5', 'f4e5', 'e8g8', 'a2a3', 'b4e7', 'd1c2', 'f8f3', 'g2f3', 'c6d4', 'e2d4']",r1b3k1/pp1nb1pp/1q2p3/3pP3/3N4/P2B1P2/1PQB3P/R3K2R b KQ - 0 16,w
"['e2e4', 'e7e6', 'd2d4', 'd7d5', 'b1d2', 'g8f6', 'e4e5', 'f6d7', 'f2f4', 'c7c5', 'c2c3', 'b8c6', 'd2f3', 'c5d4', 'c3d4', 'f7f6', 'f1d3', 'f8b4', 'c1d2', 'd8b6', 'g1e2', 'f6e5', 'f4e5', 'e8g8', 'a2a3', 'b4e7', 'd1c2', 'f8f3', 'g2f3', 'c6d4', 'e2d4', 'b6d4']",r1b3k1/pp1nb1pp/4p3/3pP3/3q4/P2B1P2/1PQB3P/R3K2R w KQ - 0 17,w
"['e2e4', 'e7e6', 'd2d4', 'd7d5', 'b1d2', 'g8f6', 'e4e5', 'f6d7', 'f2f4', 'c7c5', 'c2c3', 'b8c6', 'd2f3', 'c5d4', 'c3d4', 'f7f6', 'f1d3', 'f8b4', 'c1d2', 'd8b6', 'g1e2', 'f6e5', 'f4e5', 'e8g8', 'a2a3', 'b4e7', 'd1c2', 'f8f3', 'g2f3', 'c6d4', 'e2d4', 'b6d4', 'e1c1']",r1b3k1/pp1nb1pp/4p3/3pP3/3q4/P2B1P2/1PQB3P/2KR3R b - - 1 17,w
"['e2e4', 'e7e6', 'd2d4', 'd7d5', 'b1d2', 'g8f6', 'e4e5', 'f6d7', 'f2f4', 'c7c5', 'c2c3', 'b8c6', 'd2f3', 'c5d4', 'c3d4', 'f7f6', 'f1d3', 'f8b4', 'c1d2', 'd8b6', 'g1e2', 'f6e5', 'f4e5', 'e8g8', 'a2a3', 'b4e7', 'd1c2', 'f8f3', 'g2f3', 'c6d4', 'e2d4', 'b6d4', 'e1c1', 'd7e5']",r1b3k1/pp2b1pp/4p3/3pn3/3q4/P2B1P2/1PQB3P/2KR3R w - - 0 18,w
"['e2e4', 'e7e6', 'd2d4', 'd7d5', 'b1d2', 'g8f6', 'e4e5', 'f6d7', 'f2f4', 'c7c5', 'c2c3', 'b8c6', 'd2f3', 'c5d4', 'c3d4', 'f7f6', 'f1d3', 'f8b4', 'c1d2', 'd8b6', 'g1e2', 'f6e5', 'f4e5', 'e8g8', 'a2a3', 'b4e7', 'd1c2', 'f8f3', 'g2f3', 'c6d4', 'e2d4', 'b6d4', 'e1c1', 'd7e5', 'd3h7']",r1b3k1/pp2b1pB/4p3/3pn3/3q4/P4P2/1PQB3P/2KR3R b - - 0 18,w
"['e2e4', 'e7e6', 'd2d4', 'd7d5', 'b1d2', 'g8f6', 'e4e5', 'f6d7', 'f2f4', 'c7c5', 'c2c3', 'b8c6', 'd2f3', 'c5d4', 'c3d4', 'f7f6', 'f1d3', 'f8b4', 'c1d2', 'd8b6', 'g1e2', 'f6e5', 'f4e5', 'e8g8', 'a2a3', 'b4e7', 'd1c2', 'f8f3', 'g2f3', 'c6d4', 'e2d4', 'b6d4', 'e1c1', 'd7e5', 'd3h7', 'g8h8']",r1b4k/pp2b1pB/4p3/3pn3/3q4/P4P2/1PQB3P/2KR3R w - - 1 19,w
"['e2e4', 'e7e6', 'd2d4', 'd7d5', 'b1d2', 'g8f6', 'e4e5', 'f6d7', 'f2f4', 'c7c5', 'c2c3', 'b8c6', 'd2f3', 'c5d4', 'c3d4', 'f7f6', 'f1d3', 'f8b4', 'c1d2', 'd8b6', 'g1e2', 'f6e5', 'f4e5', 'e8g8', 'a2a3', 'b4e7', 'd1c2', 'f8f3', 'g2f3', 'c6d4', 'e2d4', 'b6d4', 'e1c1', 'd7e5', 'd3h7', 'g8h8', 'c1b1']",r1b4k/pp2b1pB/4p3/3pn3/3q4/P4P2/1PQB3P/1K1R3R b - - 2 19,w
"['e2e4', 'e7e6', 'd2d4', 'd7d5', 'b1d2', 'g8f6', 'e4e5', 'f6d7', 'f2f4', 'c7c5', 'c2c3', 'b8c6', 'd2f3', 'c5d4', 'c3d4', 'f7f6', 'f1d3', 'f8b4', 'c1d2', 'd8b6', 'g1e2', 'f6e5', 'f4e5', 'e8g8', 'a2a3', 'b4e7', 'd1c2', 'f8f3', 'g2f3', 'c6d4', 'e2d4', 'b6d4', 'e1c1', 'd7e5', 'd3h7', 'g8h8', 'c1b1', 'd4h4']",r1b4k/pp2b1pB/4p3/3pn3/7q/P4P2/1PQB3P/1K1R3R w - - 3 20,w
"['e2e4', 'e7e6', 'd2d4', 'd7d5', 'b1d2', 'g8f6', 'e4e5', 'f6d7', 'f2f4', 'c7c5', 'c2c3', 'b8c6', 'd2f3', 'c5d4', 'c3d4', 'f7f6', 'f1d3', 'f8b4', 'c1d2', 'd8b6', 'g1e2', 'f6e5', 'f4e5', 'e8g8', 'a2a3', 'b4e7', 'd1c2', 'f8f3', 'g2f3', 'c6d4', 'e2d4', 'b6d4', 'e1c1', 'd7e5', 'd3h7', 'g8h8', 'c1b1', 'd4h4', 'd2c3']",r1b4k/pp2b1pB/4p3/3pn3/7q/P1B2P2/1PQ4P/1K1R3R b - - 4 20,w
"['e2e4', 'e7e6', 'd2d4', 'd7d5', 'b1d2', 'g8f6', 'e4e5', 'f6d7', 'f2f4', 'c7c5', 'c2c3', 'b8c6', 'd2f3', 'c5d4', 'c3d4', 'f7f6', 'f1d3', 'f8b4', 'c1d2', 'd8b6', 'g1e2', 'f6e5', 'f4e5', 'e8g8', 'a2a3', 'b4e7', 'd1c2', 'f8f3', 'g2f3', 'c6d4', 'e2d4', 'b6d4', 'e1c1', 'd7e5', 'd3h7', 'g8h8', 'c1b1', 'd4h4', 'd2c3', 'e7f6']",r1b4k/pp4pB/4pb2/3pn3/7q/P1B2P2/1PQ4P/1K1R3R w - - 5 21,w
"['e2e4', 'e7e6', 'd2d4', 'd7d5', 'b1d2', 'g8f6', 'e4e5', 'f6d7', 'f2f4', 'c7c5', 'c2c3', 'b8c6', 'd2f3', 'c5d4', 'c3d4', 'f7f6', 'f1d3', 'f8b4', 'c1d2', 'd8b6', 'g1e2', 'f6e5', 'f4e5', 'e8g8', 'a2a3', 'b4e7', 'd1c2', 'f8f3', 'g2f3', 'c6d4', 'e2d4', 'b6d4', 'e1c1', 'd7e5', 'd3h7', 'g8h8', 'c1b1', 'd4h4', 'd2c3', 'e7f6', 'f3f4']",r1b4k/pp4pB/4pb2/3pn3/5P1q/P1B5/1PQ4P/1K1R3R b - - 0 21,w
"['e2e4', 'e7e6', 'd2d4', 'd7d5', 'b1d2', 'g8f6', 'e4e5', 'f6d7', 'f2f4', 'c7c5', 'c2c3', 'b8c6', 'd2f3', 'c5d4', 'c3d4', 'f7f6', 'f1d3', 'f8b4', 'c1d2', 'd8b6', 'g1e2', 'f6e5', 'f4e5', 'e8g8', 'a2a3', 'b4e7', 'd1c2', 'f8f3', 'g2f3', 'c6d4', 'e2d4', 'b6d4', 'e1c1', 'd7e5', 'd3h7', 'g8h8', 'c1b1', 'd4h4', 'd2c3', 'e7f6', 'f3f4', 'e5c4']",r1b4k/pp4pB/4pb2/3p4/2n2P1q/P1B5/1PQ4P/1K1R3R w - - 1 22,w
"['e2e4', 'e7e6', 'd2d4', 'd7d5', 'b1d2', 'g8f6', 'e4e5', 'f6d7', 'f2f4', 'c7c5', 'c2c3', 'b8c6', 'd2f3', 'c5d4', 'c3d4', 'f7f6', 'f1d3', 'f8b4', 'c1d2', 'd8b6', 'g1e2', 'f6e5', 'f4e5', 'e8g8', 'a2a3', 'b4e7', 'd1c2', 'f8f3', 'g2f3', 'c6d4', 'e2d4', 'b6d4', 'e1c1', 'd7e5', 'd3h7', 'g8h8', 'c1b1', 'd4h4', 'd2c3', 'e7f6', 'f3f4', 'e5c4', 'c3f6']",r1b4k/pp4pB/4pB2/3p4/2n2P1q/P7/1PQ4P/1K1R3R b - - 0 22,w
"['e2e4', 'e7e6', 'd2d4', 'd7d5', 'b1d2', 'g8f6', 'e4e5', 'f6d7', 'f2f4', 'c7c5', 'c2c3', 'b8c6', 'd2f3', 'c5d4', 'c3d4', 'f7f6', 'f1d3', 'f8b4', 'c1d2', 'd8b6', 'g1e2', 'f6e5', 'f4e5', 'e8g8', 'a2a3', 'b4e7', 'd1c2', 'f8f3', 'g2f3', 'c6d4', 'e2d4', 'b6d4', 'e1c1', 'd7e5', 'd3h7', 'g8h8', 'c1b1', 'd4h4', 'd2c3', 'e7f6', 'f3f4', 'e5c4', 'c3f6', 'h4f6']",r1b4k/pp4pB/4pq2/3p4/2n2P2/P7/1PQ4P/1K1R3R w - - 0 23,w
"['e2e4', 'e7e6', 'd2d4', 'd7d5', 'b1d2', 'g8f6', 'e4e5', 'f6d7', 'f2f4', 'c7c5', 'c2c3', 'b8c6', 'd2f3', 'c5d4', 'c3d4', 'f7f6', 'f1d3', 'f8b4', 'c1d2', 'd8b6', 'g1e2', 'f6e5', 'f4e5', 'e8g8', 'a2a3', 'b4e7', 'd1c2', 'f8f3', 'g2f3', 'c6d4', 'e2d4', 'b6d4', 'e1c1', 'd7e5', 'd3h7', 'g8h8', 'c1b1', 'd4h4', 'd2c3', 'e7f6', 'f3f4', 'e5c4', 'c3f6', 'h4f6', 'h7d3']",r1b4k/pp4p1/4pq2/3p4/2n2P2/P2B4/1PQ4P/1K1R3R b - - 1 23,w
"['e2e4', 'e7e6', 'd2d4', 'd7d5', 'b1d2', 'g8f6', 'e4e5', 'f6d7', 'f2f4', 'c7c5', 'c2c3', 'b8c6', 'd2f3', 'c5d4', 'c3d4', 'f7f6', 'f1d3', 'f8b4', 'c1d2', 'd8b6', 'g1e2', 'f6e5', 'f4e5', 'e8g8', 'a2a3', 'b4e7', 'd1c2', 'f8f3', 'g2f3', 'c6d4', 'e2d4', 'b6d4', 'e1c1', 'd7e5', 'd3h7', 'g8h8', 'c1b1', 'd4h4', 'd2c3', 'e7f6', 'f3f4', 'e5c4', 'c3f6', 'h4f6', 'h7d3', 'b7b5']",r1b4k/p5p1/4pq2/1p1p4/2n2P2/P2B4/1PQ4P/1K1R3R w - - 0 24,w
"['e2e4', 'e7e6', 'd2d4', 'd7d5', 'b1d2', 'g8f6', 'e4e5', 'f6d7', 'f2f4', 'c7c5', 'c2c3', 'b8c6', 'd2f3', 'c5d4', 'c3d4', 'f7f6', 'f1d3', 'f8b4', 'c1d2', 'd8b6', 'g1e2', 'f6e5', 'f4e5', 'e8g8', 'a2a3', 'b4e7', 'd1c2', 'f8f3', 'g2f3', 'c6d4', 'e2d4', 'b6d4', 'e1c1', 'd7e5', 'd3h7', 'g8h8', 'c1b1', 'd4h4', 'd2c3', 'e7f6', 'f3f4', 'e5c4', 'c3f6', 'h4f6', 'h7d3', 'b7b5', 'c2e2']",r1b4k/p5p1/4pq2/1p1p4/2n2P2/P2B4/1P2Q2P/1K1R3R b - - 1 24,w
"['e2e4', 'e7e6', 'd2d4', 'd7d5', 'b1d2', 'g8f6', 'e4e5', 'f6d7', 'f2f4', 'c7c5', 'c2c3', 'b8c6', 'd2f3', 'c5d4', 'c3d4', 'f7f6', 'f1d3', 'f8b4', 'c1d2', 'd8b6', 'g1e2', 'f6e5', 'f4e5', 'e8g8', 'a2a3', 'b4e7', 'd1c2', 'f8f3', 'g2f3', 'c6d4', 'e2d4', 'b6d4', 'e1c1', 'd7e5', 'd3h7', 'g8h8', 'c1b1', 'd4h4', 'd2c3', 'e7f6', 'f3f4', 'e5c4', 'c3f6', 'h4f6', 'h7d3', 'b7b5', 'c2e2', 'c8d7']",r6k/p2b2p1/4pq2/1p1p4/2n2P2/P2B4/1P2Q2P/1K1R3R w - - 2 25,w
"['e2e4', 'e7e6', 'd2d4', 'd7d5', 'b1d2', 'g8f6', 'e4e5', 'f6d7', 'f2f4', 'c7c5', 'c2c3', 'b8c6', 'd2f3', 'c5d4', 'c3d4', 'f7f6', 'f1d3', 'f8b4', 'c1d2', 'd8b6', 'g1e2', 'f6e5', 'f4e5', 'e8g8', 'a2a3', 'b4e7', 'd1c2', 'f8f3', 'g2f3', 'c6d4', 'e2d4', 'b6d4', 'e1c1', 'd7e5', 'd3h7', 'g8h8', 'c1b1', 'd4h4', 'd2c3', 'e7f6', 'f3f4', 'e5c4', 'c3f6', 'h4f6', 'h7d3', 'b7b5', 'c2e2', 'c8d7', 'h1g1']",r6k/p2b2p1/4pq2/1p1p4/2n2P2/P2B4/1P2Q2P/1K1R2R1 b - - 3 25,w
"['e2e4', 'e7e6', 'd2d4', 'd7d5', 'b1d2', 'g8f6', 'e4e5', 'f6d7', 'f2f4', 'c7c5', 'c2c3', 'b8c6', 'd2f3', 'c5d4', 'c3d4', 'f7f6', 'f1d3', 'f8b4', 'c1d2', 'd8b6', 'g1e2', 'f6e5', 'f4e5', 'e8g8', 'a2a3', 'b4e7', 'd1c2', 'f8f3', 'g2f3', 'c6d4', 'e2d4', 'b6d4', 'e1c1', 'd7e5', 'd3h7', 'g8h8', 'c1b1', 'd4h4', 'd2c3', 'e7f6', 'f3f4', 'e5c4', 'c3f6', 'h4f6', 'h7d3', 'b7b5', 'c2e2', 'c8d7', 'h1g1', 'd7e8']",r3b2k/p5p1/4pq2/1p1p4/2n2P2/P2B4/1P2Q2P/1K1R2R1 w - - 4 26,w
"['e2e4', 'e7e6', 'd2d4', 'd7d5', 'b1d2', 'g8f6', 'e4e5', 'f6d7', 'f2f4', 'c7c5', 'c2c3', 'b8c6', 'd2f3', 'c5d4', 'c3d4', 'f7f6', 'f1d3', 'f8b4', 'c1d2', 'd8b6', 'g1e2', 'f6e5', 'f4e5', 'e8g8', 'a2a3', 'b4e7', 'd1c2', 'f8f3', 'g2f3', 'c6d4', 'e2d4', 'b6d4', 'e1c1', 'd7e5', 'd3h7', 'g8h8', 'c1b1', 'd4h4', 'd2c3', 'e7f6', 'f3f4', 'e5c4', 'c3f6', 'h4f6', 'h7d3', 'b7b5', 'c2e2', 'c8d7', 'h1g1', 'd7e8', 'd1e1']",r3b2k/p5p1/4pq2/1p1p4/2n2P2/P2B4/1P2Q2P/1K2R1R1 b - - 5 26,w
"['e2e4', 'e7e6', 'd2d4', 'd7d5', 'b1d2', 'g8f6', 'e4e5', 'f6d7', 'f2f4', 'c7c5', 'c2c3', 'b8c6', 'd2f3', 'c5d4', 'c3d4', 'f7f6', 'f1d3', 'f8b4', 'c1d2', 'd8b6', 'g1e2', 'f6e5', 'f4e5', 'e8g8', 'a2a3', 'b4e7', 'd1c2', 'f8f3', 'g2f3', 'c6d4', 'e2d4', 'b6d4', 'e1c1', 'd7e5', 'd3h7', 'g8h8', 'c1b1', 'd4h4', 'd2c3', 'e7f6', 'f3f4', 'e5c4', 'c3f6', 'h4f6', 'h7d3', 'b7b5', 'c2e2', 'c8d7', 'h1g1', 'd7e8', 'd1e1', 'e8f7']",r6k/p4bp1/4pq2/1p1p4/2n2P2/P2B4/1P2Q2P/1K2R1R1 w - - 6 27,w
"['e2e4', 'e7e6', 'd2d4', 'd7d5', 'b1d2', 'g8f6', 'e4e5', 'f6d7', 'f2f4', 'c7c5', 'c2c3', 'b8c6', 'd2f3', 'c5d4', 'c3d4', 'f7f6', 'f1d3', 'f8b4', 'c1d2', 'd8b6', 'g1e2', 'f6e5', 'f4e5', 'e8g8', 'a2a3', 'b4e7', 'd1c2', 'f8f3', 'g2f3', 'c6d4', 'e2d4', 'b6d4', 'e1c1', 'd7e5', 'd3h7', 'g8h8', 'c1b1', 'd4h4', 'd2c3', 'e7f6', 'f3f4', 'e5c4', 'c3f6', 'h4f6', 'h7d3', 'b7b5', 'c2e2', 'c8d7', 'h1g1', 'd7e8', 'd1e1', 'e8f7', 'g1g3']",r6k/p4bp1/4pq2/1p1p4/2n2P2/P2B2R1/1P2Q2P/1K2R3 b - - 7 27,w
"['e2e4', 'e7e6', 'd2d4', 'd7d5', 'b1d2', 'g8f6', 'e4e5', 'f6d7', 'f2f4', 'c7c5', 'c2c3', 'b8c6', 'd2f3', 'c5d4', 'c3d4', 'f7f6', 'f1d3', 'f8b4', 'c1d2', 'd8b6', 'g1e2', 'f6e5', 'f4e5', 'e8g8', 'a2a3', 'b4e7', 'd1c2', 'f8f3', 'g2f3', 'c6d4', 'e2d4', 'b6d4', 'e1c1', 'd7e5', 'd3h7', 'g8h8', 'c1b1', 'd4h4', 'd2c3', 'e7f6', 'f3f4', 'e5c4', 'c3f6', 'h4f6', 'h7d3', 'b7b5', 'c2e2', 'c8d7', 'h1g1', 'd7e8', 'd1e1', 'e8f7', 'g1g3', 'a8c8']",2r4k/p4bp1/4pq2/1p1p4/2n2P2/P2B2R1/1P2Q2P/1K2R3 w - - 8 28,w
